Pseudogymnoascus sp._VKM_F-3808
Cenococcum geophilum
Glonium stellatum
Lepidopterella palustris
Stagonosporopsis tanaceti
Epicoccum sorghinum
Epicoccum nigrum
Phoma herbarum
Ascochyta rabiei
Bipolaris victoriae
Bipolaris zeicola
Bipolaris oryzae
Bipolaris sorokiniana
Bipolaris maydis
Bipolaris cookei
Curvularia geniculata
Curvularia lunata
Curvularia papendorfii
Curvularia sp._IFB-Z10
Exserohilum turcicum
Stemphylium lycopersici
Alternaria solani
Alternaria arborescens
Alternaria alternata
Alternaria brassicicola
Alternaria consortialis
Pyrenophora tritici-repentis
Pyrenophora teres
Pyrenophora seminiperda
Plenodomus biglobosus
Leptosphaeria maculans
Pyrenochaeta sp._DS3sAY3a
Pyrenochaeta sp._UM_256
Pseudopyrenochaeta lycopersici
Shiraia sp._slf14
Paraphoma sp._B47-9
Pleosporales sp._UM_1110_2012
Stagonospora sp._SRC1lsM3a
Parastagonospora nodorum
Paraphaeosphaeria sporulosa
Periconia macrospinosa
Helminthosporium solani
Corynespora cassiicola
Beverwykella pulmonaria
Nigrograna mackinnonii
Clohesyomyces aquaticus
Rhytidhysteron rufulum
Hysterium pulicare
Coniosporium apollinis
Sphaeropsis sapinea
Diplodia scrobiculata
Diplodia seriata
Diplodia corticola
Lasiodiplodia theobromae
Macrophomina phaseolina
Botryosphaeria dothidea
Neoscytalidium dimidiatum
Neofusicoccum parvum
Phyllosticta capitalensis
Phyllosticta citricarpa
Venturia effusa
Venturia carpophila
Venturia inaequalis
Venturia pyrina
Ochroconis constricta
Verruconis gallopava
Rachicladosporium sp._CCFEE_5018
Cladosporium sphaerospermum
Cladosporium sp._SL-16
Preussia sp._BSL10
Cladosporium cladosporioides
Peltaster fructicola
Mycosphaerella arachidis
Fulvia fulva
Dothistroma pini
Dothistroma septosporum
Exutisphaerella laricina
Zasmidium angulare
Zasmidium citri-griseum
Mycosphaerelloides madeirae
Microcyclosporella mali
Lecanosticta acicola
Pseudocercospora musae
Pseudocercospora eumusae
Pseudocercospora pini-densiflorae
Pseudocercospora fijiensis
Nothophaeocryptopus gaeumannii
Sphaerulina populicola
Sphaerulina musiva
Mycosphaerella sp._PB-2012b
Mycosphaerella sp._Ston1
Cercospora canescens
Cercospora zeina
Cercospora physalidis
Cercospora beticola
Cercospora cf._sigesbeckiae
Cercospora berteroae
Cercospora sojina
Zymoseptoria tritici
Zymoseptoria brevis
Zymoseptoria pseudotritici
Zymoseptoria ardabiliae
Zymoseptoria passerinii
Ramularia endophylla
Ramularia collo-cygni
Ramichloridium luteum
Microcyclospora pomicola
Microcyclospora tardicrescens
Acidomyces richmondensis
Baudoinia panamericana
Leptoxyphium fumago
Sphaceloma murrayae
Elsinoe australis
Aureobasidium melanogenum
Aureobasidium pullulans
Aureobasidium namibiae
Aureobasidium subglaciale
Aureobasidium sp._FSWF8-4
Cryomyces antarcticus
Arthonia radiata
Symbiotaphrina buchneri
Xylona heveae
Cetradonia linearis
Cladonia metacorallifera
Cladonia macilenta
Cladonia uncialis
Evernia prunastri
Pseudevernia furfuracea
Ramalina peruviana
Ramalina intermedia
Gyalolechia flavorubescens
Lasallia pustulata
Umbilicaria hispanica
Umbilicaria muehlenbergii
Exophiala dermatitidis
Capronia coronata
Capronia epimyces
Exophiala oligosperma
Exophiala xenobiotica
Exophiala spinifera
Exophiala sideris
Fonsecaea erecta
Fonsecaea multimorphosa
Cladophialophora immunda
Fonsecaea nubica
Fonsecaea monophora
Fonsecaea pedrosoi
Cladophialophora bantiana
Cladophialophora psammophila
Phialophora verrucosa
Phialophora americana
Cladophialophora carrionii
Cladophialophora yegresii
Exophiala alcalophila
Rhinocladiella mackenziei
Graphium calicioides
Exophiala mesophila
Exophiala aquamarina
Cyphellophora europaea
Phialophora attae
Knufia petricola
Eurotiomycetes sp.
Herpotrichiellaceae sp._UM238
Endocarpon pusillum
Phaeomoniella chlamydospora
Trichophyton interdigitale
Trichophyton mentagrophytes
Trichophyton tonsurans
Trichophyton equinum
Trichophyton violaceum_CMCCFT3l
Trichophyton violaceum_CBS_452.61
Trichophyton rubrum
Trichophyton verrucosum
Trichophyton benhamiae
Arthroderma gypseum
Microsporum canis
Onygena corvina
Amauroascus niger
Amauroascus mutatus
Chrysosporium queenslandicum
Byssoonygena ceratinophila
Coccidioides immitis
Coccidioides posadasii
Uncinocarpus reesii
Ophidiomyces ophiodiicola
Malbranchea cinnamomea
Paracoccidioides lutzii
Paracoccidioides brasiliensis
Blastomyces gilchristii
Blastomyces dermatitidis
Blastomyces percursus
Blastomyces parvus
Blastomyces sp._MA-2018
Histoplasma capsulatum
Emmonsia sp._CAC-2015a
Emergomyces pasteurianus
Emergomyces orientalis
Emmonsia crescens
Helicocarpus griseus
Polytolypa hystricis
Ascosphaera apis
Monascus ruber
Monascus purpureus
Byssochlamys sp._BYSS01
Xeromyces bisporus
Aspergillus rambellii
Aspergillus ochraceoroseus
Aspergillus sydowii
Aspergillus sp._Z5
Aspergillus versicolor
Aspergillus sp._MA_6037
Aspergillus unguis
Aspergillus mulundensis
Aspergillus nidulans
Aspergillus ustus
Aspergillus calidoustus
Aspergillus kawachii
Aspergillus awamori
Aspergillus foetidus
Aspergillus piperis
Aspergillus tubingensis
Aspergillus eucalypticola
Aspergillus costaricaensis
Aspergillus neoniger
Aspergillus vadensis
Aspergillus niger_ATCC_13496
Aspergillus lacticoffeatus
Aspergillus phoenicis
Aspergillus niger_CBS_139.54b
Aspergillus brasiliensis
Aspergillus sclerotioniger
Aspergillus carbonarius
Aspergillus sclerotiicarbonarius
Aspergillus ibericus
Aspergillus heteromorphus
Aspergillus ellipticus
Aspergillus indologenus
Aspergillus japonicus_CBS114.51
Aspergillus violaceofuscus
Aspergillus uvarum
Aspergillus aculeatinus
Aspergillus japonicus_CBS_621.78
Aspergillus fijiensis
Aspergillus aculeatus
Aspergillus saccharolyticus
Aspergillus homomorphus
Aspergillus hancockii
Aspergillus oryzae
Aspergillus parasiticus
Aspergillus sojae
Aspergillus arachidicola
Aspergillus flavus
Aspergillus bombycis
Aspergillus nomiae
Aspergillus tanneri
Aspergillus sclerotiorum
Aspergillus persii
Aspergillus steynii
Aspergillus westerdijkiae
Aspergillus campestris
Aspergillus candidus
